Unnamed: 0,Address,tinh,tinh_cat,qh,qh_cat,px,px_cat,duong,Address_ch,street,ward,district,province,normalized_address
170,"130 hồng hà , phường 9 , phú nhuận , hcm",,,,,,,,,130 hồng hà phường 9 phú nhuận hcm,,,,130 hồng hà phường 9 phú nhuận hcm
171,"sarimi sala đại quang minh , thủ thiêm , quận 2",,,,,,,,,sarimi sala đại quang minh thủ thiêm quận 2,,,,sarimi sala đại quang minh thủ thiêm quận 2
172,"thủy nguyên , hải phòng",,,,,,,,,thủy nguyên,,,Hải Phòng,"thủy nguyên, Hải Phòng"
173,minh thành đường lê văn lương phường tân quy quận 7,,,,,,,,,minh thành đường lê văn lương phường tân quy quận 7,,,,minh thành đường lê văn lương phường tân quy quận 7
174,"đường chiến thắng , p . văn quán , q . hà đông , tp . hà nội",,,,,,,,,đường chiến thắng p văn quán q hà đông tp hà nội,,,,đường chiến thắng p văn quán q hà đông tp hà nội
175,"bến ninh kiều - trên đường trần quốc toản , cần thơ",,,,,,,,,bến ninh kiều trên đường trần quốc toản,,,Cần Thơ,"bến ninh kiều trên đường trần quốc toản, Cần Thơ"
176,phòng 403,,,,,,,,,phòng 403,,,,phòng 403
177,"chung cư 5 tầng - 76 nguyễn chí thanh , đống đa , hà nội",,,,,,,,,chung cư 5 tầng 76 nguyễn chí thanh đống đa hà nội,,,,chung cư 5 tầng 76 nguyễn chí thanh đống đa hà nội
178,chung cư liễu giai tower - 26 liễu giai,,,,,,,,,chung cư liễu giai tower 26 liễu giai,,,,chung cư liễu giai tower 26 liễu giai
179,"hxh 199 thành thái , q10",,,,,,,,,hxh 199 thành thái q10,,,,hxh 199 thành thái q10
180,sala đại quang minh,,,,,,,,,sala đại quang minh,,,,sala đại quang minh
181,"công nghiệp ngọc hồi , thanh trì , hà nội",,,,,,,,,công nghiệp ngọc hồi thanh trì hà nội,,,,công nghiệp ngọc hồi thanh trì hà nội
182,chung cư sunny plaza đường phạm văn đồng,,,,,,,,,chung cư sunny plaza đường phạm văn đồng,,,,chung cư sunny plaza đường phạm văn đồng
183,"kdc nam long , p . plb , quận 9",,,,,,,,,kdc nam long p plb quận 9,,,,kdc nam long p plb quận 9
184,richmond block lucky,,,,,,,,,richmond block lucky,,,,richmond block lucky
185,"mặt tiền đường nguyễn đình chính , quận phú nhuận",,,,,,,,,mặt tiền đường nguyễn đình chính quận phú nhuận,,,,mặt tiền đường nguyễn đình chính quận phú nhuận
186,số 10 ngõ 230 / 31 / 24 phố định công thượng,,,,,,,,,số 10 ngõ 230 31 24 phố định công thượng,,,,số 10 ngõ 230 31 24 phố định công thượng
187,"đường nguyễn đổng chi , phường mỹ đình 1",,,,,,,,,đường nguyễn đổng chi phường mỹ đình 1,,,,đường nguyễn đổng chi phường mỹ đình 1
188,"ngõ phố tô ngọc vân , quảng an , tây hồ , hn",,,,,,,,,ngõ phố tô ngọc vân quảng an tây hồ hn,,,,ngõ phố tô ngọc vân quảng an tây hồ hn
189,"ngõ 4a phố đặng văn ngữ , quận đống đa , hà nội",,,,,,,,,ngõ 4a phố đặng văn ngữ quận đống đa hà nội,,,,ngõ 4a phố đặng văn ngữ quận đống đa hà nội
190,"đường quốc lộ 1a , thới an , quận 12",,,,,,,,,đường quốc lộ 1a thới an quận 12,,,,đường quốc lộ 1a thới an quận 12
191,galaxy 9,,,,,,,,,galaxy 9,,,,galaxy 9
192,"mặt đường nguyễn khoái , quận 4",,,,,,,,,mặt đường nguyễn khoái quận 4,,,,mặt đường nguyễn khoái quận 4
193,"mặt đường thanh đàm , quận hoàng mai , hà nội",,,,,,,,,mặt đường thanh đàm quận hoàng mai hà nội,,,,mặt đường thanh đàm quận hoàng mai hà nội
194,mặt đường thanh đàm,,,,,,,,,mặt đường thanh đàm,,,,mặt đường thanh đàm
195,botanica premier ( chủ đầu tư novaland ),,,,,,,,,botanica premier chủ đầu tư novaland,,,,botanica premier chủ đầu tư novaland
196,"108 hồng hà , phường 2 , quận tân bình , tp . hcm",,,,,,,,,108 hồng hà phường 2 quận tân bình tp hcm,,,,108 hồng hà phường 2 quận tân bình tp hcm
197,phố lý thường kiệt,,,,,,,,,phố lý thường kiệt,,,,phố lý thường kiệt
198,"số nhà 33 , đường mỹ an 23 , p . mỹ an , q . ngũ hành sơn , tp . đà nẵng",,,,,,,,,số nhà 33 đường mỹ an 23 p mỹ an q ngũ hành sơn tp,,,Đà Nẵng,"số nhà 33 đường mỹ an 23 p mỹ an q ngũ hành sơn tp, Đà Nẵng"
199,new horizon,,,,,,,,,new horizon,,,,new horizon
200,tòa cruz,,,,,,,,,tòa cruz,,,,tòa cruz
201,tháp c,,,,,,,,,tháp c,,,,tháp c
202,"ngõ 559 kim ngưu , hbt , hn",,,,,,,,,ngõ 559 kim ngưu hbt hn,,,,ngõ 559 kim ngưu hbt hn
203,"ngo 559 kim ngưu , hbt , hn",,,,,,,,,ngo 559 kim ngưu hbt hn,,,,ngo 559 kim ngưu hbt hn
204,"480 / 95d phường 28 , quận bình thạnh",,,,,,,,,480 95d phường 28 quận bình thạnh,,,,480 95d phường 28 quận bình thạnh
205,215 nguyễn thị thập phường tân phú quận 7,,,,,,,,,215 nguyễn thị thập phường tân phú quận 7,,,,215 nguyễn thị thập phường tân phú quận 7
206,mt cộng hòa,,,,,,,,,mt cộng hòa,,,,mt cộng hòa
207,5.16 tòa c2 chung cư ecohome 2,,,,,,,,,5 16 tòa c2 chung cư ecohome 2,,,,5 16 tòa c2 chung cư ecohome 2
208,"đường quốc lộ 1a , tân tạo bình tân",,,,,,,,,đường quốc lộ 1a tân tạo bình tân,,,,đường quốc lộ 1a tân tạo bình tân
209,"quốc lộ 1a , phường tân tạo",,,,,,,,,quốc lộ 1a phường tân tạo,,,,quốc lộ 1a phường tân tạo
210,"river gte , 151 bến vân đồn , quận 4",,,,,,,,,river gte 151 bến vân đồn quận 4,,,,river gte 151 bến vân đồn quận 4
211,"ngõ ô tô trung kính - trần kim xuyến , quận cầu giấy",,,,,,,,,ngõ ô tô trung kính trần kim xuyến quận cầu giấy,,,,ngõ ô tô trung kính trần kim xuyến quận cầu giấy
212,saigon gateway,,,,,,,,,saigon gateway,,,,saigon gateway
213,"mặt tiền phạm hữu lầu , quận 7 , tp hồ chí minh",,,,,,,,,mặt tiền phạm hữu lầu  tp,, Quận 7,Hồ Chí Minh,"mặt tiền phạm hữu lầu  tp,  Quận 7, Hồ Chí Minh"
214,hoàng anh gia lai,,,,,,,,,hoàng anh,,,Gia Lai,"hoàng anh, Gia Lai"
215,"kđt belhom - vsip , từ sơn bắc ninh",,,,,,,,,kđt belhom vsip từ sơn,,,Bắc Ninh,"kđt belhom vsip từ sơn, Bắc Ninh"
216,cafe view hồ đắc di cơ hội,,,,,,,,,cafe view hồ đắc di cơ hội,,,,cafe view hồ đắc di cơ hội
217,thành phố nha trang,,,,,,,,,thành phố nha trang,,,,thành phố nha trang
218,"02 lê thành phương , phường phương sài , tp nha trang",,,,,,,,,02 lê thành phương phường phương sài tp nha trang,,,,02 lê thành phương phường phương sài tp nha trang
219,61 hoa lan,,,,,,,,,61 hoa lan,,,,61 hoa lan
220,phan xích long phường 02 quận phú nhuận,,,,,,,,,phan xích long phường 02 quận phú nhuận,,,,phan xích long phường 02 quận phú nhuận
221,"mỹ đình 2 đường lê đức thọ , nam từ liêm , hà nội",,,,,,,,,mỹ đình 2 đường lê đức thọ nam từ liêm hà nội,,,,mỹ đình 2 đường lê đức thọ nam từ liêm hà nội
222,"hòa cường , hải châu , đà nẵng",,,,,,,,,hòa cường hải châu,,,Đà Nẵng,"hòa cường hải châu, Đà Nẵng"
223,quận 9,,,,,,,,,quận 9,,,,quận 9
224,"khu dân cư trí kiệt , p . phước long b , quận 9",,,,,,,,,khu dân cư trí kiệt p phước long b quận 9,,,,khu dân cư trí kiệt p phước long b quận 9
225,386 / 9a lê văn sỹ,,,,,,,,,386 9a lê văn sỹ,,,,386 9a lê văn sỹ
226,the pegasuite quận 8,,,,,,,,,the pegasuite quận 8,,,,the pegasuite quận 8
227,vườn đào,,,,,,,,,vườn đào,,,,vườn đào
228,chung cư sài gòn gateway,,,,,,,,,chung cư sài gòn gateway,,,,chung cư sài gòn gateway
229,"hà đô centrosa , quận 10",,,,,,,,,hà đô centrosa quận 10,,,,hà đô centrosa quận 10
230,"số 44 / 32 / 32 trương phước phan , quận bình tân",,,,,,,,,số 44 32 32 trương phước phan quận bình tân,,,,số 44 32 32 trương phước phan quận bình tân
231,số 5 - ngõ 1277 / 7 đường giải phóng,,,,,,,,,số 5 ngõ 1277 7 đường giải phóng,,,,số 5 ngõ 1277 7 đường giải phóng
232,yên hòa cầu giấy hà nội .,,,,,,,,,yên hòa cầu giấy hà nội,,,,yên hòa cầu giấy hà nội
233,tòa ct 2,,,,,,,,,tòa ct 2,,,,tòa ct 2
234,chung cư 789 ngoại giao đoàn,,,,,,,,,chung cư 789 ngoại giao đoàn,,,,chung cư 789 ngoại giao đoàn
235,"mỹ đình pearl - số 2 châu văn liêm - mỹ đình , nam từ liêm , hà nội",,,,,,,,,mỹ đình pearl số 2 châu văn liêm mỹ đình nam từ liêm hà nội,,,,mỹ đình pearl số 2 châu văn liêm mỹ đình nam từ liêm hà nội
236,"mặt đường ngọc hồi giải phóng , hoàng mai , hà nội",,,,,,,,,mặt đường ngọc hồi giải phóng hoàng mai hà nội,,,,mặt đường ngọc hồi giải phóng hoàng mai hà nội
237,"195 ngọc hồi , hoàng mai , hà nội",,,,,,,,,195 ngọc hồi hoàng mai hà nội,,,,195 ngọc hồi hoàng mai hà nội
238,"đường lê thị riêng , thới an , quận 12",,,,,,,,,đường lê thị riêng thới an quận 12,,,,đường lê thị riêng thới an quận 12
239,the prince,,,,,,,,,the prince,,,,the prince
240,tòa river gate mặt tiền bến vân đồn,,,,,,,,,tòa river gate mặt tiền bến vân đồn,,,,tòa river gate mặt tiền bến vân đồn
241,phố minh khai,,,,,,,,,phố minh khai,,,,phố minh khai
242,"phường 25 , quận bình thạnh",,,,,,,,,phường 25 quận bình thạnh,,,,phường 25 quận bình thạnh
243,vinhomes west point,,,,,,,,,vinhomes west point,,,,vinhomes west point
244,tòa nhà imperia garden,,,,,,,,,tòa nhà imperia garden,,,,tòa nhà imperia garden
245,"số 3 ngõ viện máy , tổ 21 , p . mai dịch , cầu giấy , hà nội",,,,,,,,,số 3 ngõ viện máy tổ 21 p mai dịch cầu giấy hà nội,,,,số 3 ngõ viện máy tổ 21 p mai dịch cầu giấy hà nội
246,vinhomes metropolis - liễu giai,,,,,,,,,vinhomes metropolis liễu giai,,,,vinhomes metropolis liễu giai
247,trung tâm quận ba đình,,,,,,,,,trung tâm quận ba đình,,,,trung tâm quận ba đình
248,vinhome metropolis,,,,,,,,,vinhome metropolis,,,,vinhome metropolis
249,chung cư hoàng cầu skyline - 36 hoàng cầu,,,,,,,,,chung cư hoàng cầu skyline 36 hoàng cầu,,,,chung cư hoàng cầu skyline 36 hoàng cầu
250,"chung cư diamond flower tower , lê văn lương",,,,,,,,,chung cư diamond flower tower lê văn lương,,,,chung cư diamond flower tower lê văn lương
251,"bắc bình , 649 / 46 điện biên phủ , phường 25 , bình thạnh",,,,,,,,,bắc bình 649 46  phủ phường 25 bình thạnh,,,Điện Biên,"bắc bình 649 46  phủ phường 25 bình thạnh, Điện Biên"
252,"mặt tiền đường 768 , khu phố 4 , phường trảng dài , biên hòa",,,,,,,,,mặt tiền đường 768 khu phố 4 phường trảng dài biên hòa,,,,mặt tiền đường 768 khu phố 4 phường trảng dài biên hòa
253,"river gate : 151 bến vân đồn , phường 6 , quận 4 , tphcm",,,,,,,,,river gate 151 bến vân đồn phường 6 quận 4 tphcm,,,,river gate 151 bến vân đồn phường 6 quận 4 tphcm
254,"số 6 ngõ 133 đường nguyễn phong sắc , góc ngã tư nghĩa tân - nguyễn phong sắc",,,,,,,,,số 6 ngõ 133 đường nguyễn phong sắc góc ngã tư nghĩa tân nguyễn phong sắc,,,,số 6 ngõ 133 đường nguyễn phong sắc góc ngã tư nghĩa tân nguyễn phong sắc
255,"vimeco ct 4 , đường nguyễn chánh cầu giấy",,,,,,,,,vimeco ct 4 đường nguyễn chánh cầu giấy,,,,vimeco ct 4 đường nguyễn chánh cầu giấy
256,18 / 8 trần quang diệu,,,,,,,,,18 8 trần quang diệu,,,,18 8 trần quang diệu
257,vinhomes central park . địa chỉ :,,,,,,,,,vinhomes central park địa chỉ,,,,vinhomes central park địa chỉ
258,"280 nguyễn hữu cảnh , p22 , bình thạnh , hcm",,,,,,,,,280 nguyễn hữu cảnh p22 bình thạnh hcm,,,,280 nguyễn hữu cảnh p22 bình thạnh hcm
259,"40 / 18 trần đình xu , q1 , thành phố hồ chí minh",,,,,,,,,40 18 trần đình xu q1 thành phố,,,Hồ Chí Minh,"40 18 trần đình xu q1 thành phố, Hồ Chí Minh"
260,cccc mulberry lane - làng việt kiều châu âu - kđt mỗ lao - hà đông,,,,,,,,,cccc mulberry lane làng việt kiều châu âu kđt mỗ lao hà đông,,,,cccc mulberry lane làng việt kiều châu âu kđt mỗ lao hà đông
261,royal city,,,,,,,,,royal city,,,,royal city
262,penhouse tòa p2 trong khu đô thị ciputra hà nội,,,,,,,,,penhouse tòa p2 trong khu đô thị ciputra hà nội,,,,penhouse tòa p2 trong khu đô thị ciputra hà nội
263,kđt ciputra,,,,,,,,,kđt ciputra,,,,kđt ciputra
264,phố thọ tháp,,,,,,,,,phố thọ tháp,,,,phố thọ tháp
265,the gold view - bến vân đồn - quận 4,,,,,,,,,the gold view bến vân đồn quận 4,,,,the gold view bến vân đồn quận 4
266,"chung cư tràng an complex , ngay",,,,,,,,,chung cư tràng an complex ngay,,,,chung cư tràng an complex ngay
267,số 1 phùng chí kiên,,,,,,,,,số 1 phùng chí kiên,,,,số 1 phùng chí kiên
268,"đường quốc lộ 22 , cầu an hạ xuân thới sơn , huyện hóc môn",,,,,,,,,đường quốc lộ 22 cầu an hạ xuân thới sơn huyện hóc môn,,,,đường quốc lộ 22 cầu an hạ xuân thới sơn huyện hóc môn
269,"chung cư golden palm lê văn lương , thanh xuân , hà nội",,,,,,,,,chung cư golden palm lê văn lương thanh xuân hà nội,,,,chung cư golden palm lê văn lương thanh xuân hà nội
270,151 bến vân đồn,,,,,,,,,151 bến vân đồn,,,,151 bến vân đồn
271,"chung cư richmond nguyễn xí , bình thạnh",,,,,,,,,chung cư richmond nguyễn xí bình thạnh,,,,chung cư richmond nguyễn xí bình thạnh
272,611 / 9 điện biên phủ,,,,,,,,,611 9  phủ,,,Điện Biên,"611 9  phủ, Điện Biên"
273,"110a phạm văn đồng , phường 3 , quận gò vấp",,,,,,,,,110a phạm văn đồng phường 3 quận gò vấp,,,,110a phạm văn đồng phường 3 quận gò vấp
274,"chung cư tầng 11 , tòa c2 trong khu dân cư c1 - c2 xuân đỉnh , ngõ 323 xuân đỉnh , bắc từ liêm , hn",,,,,,,,,chung cư tầng 11 tòa c2 trong khu dân cư c1 c2 xuân đỉnh ngõ 323 xuân đỉnh bắc từ liêm hn,,,,chung cư tầng 11 tòa c2 trong khu dân cư c1 c2 xuân đỉnh ngõ 323 xuân đỉnh bắc từ liêm hn
275,"phố bùi xuân phái , mỹ đình 2",,,,,,,,,phố bùi xuân phái mỹ đình 2,,,,phố bùi xuân phái mỹ đình 2
276,"hẻm 39 / 7 đường 47 , phường hiệp bình chánh , q . thủ đức",,,,,,,,,hẻm 39 7 đường 47 phường hiệp bình chánh q thủ đức,,,,hẻm 39 7 đường 47 phường hiệp bình chánh q thủ đức
277,tdh trường thọ,,,,,,,,,tdh trường thọ,,,,tdh trường thọ
278,"ngã 4 ga , đường quốc lộ 1a , thạnh xuân , quận 12",,,,,,,,,ngã 4 ga đường quốc lộ 1a thạnh xuân quận 12,,,,ngã 4 ga đường quốc lộ 1a thạnh xuân quận 12
279,"the art , đường đỗ xuân hợp",,,,,,,,,the art đường đỗ xuân hợp,,,,the art đường đỗ xuân hợp
280,42 đường số 2 cư xá đô thành phường 04 quận 3,,,,,,,,,42 đường số 2 cư xá đô thành phường 04 quận 3,,,,42 đường số 2 cư xá đô thành phường 04 quận 3
281,ngõ 7 thái thịnh,,,,,,,,,ngõ 7 thái thịnh,,,,ngõ 7 thái thịnh
282,ngõ 65 vũ ngọc phan,,,,,,,,,ngõ 65 vũ ngọc phan,,,,ngõ 65 vũ ngọc phan
283,"chiêu liêu , dĩ an , bình dương",,,,,,,,,chiêu liêu dĩ an,,,Bình Dương,"chiêu liêu dĩ an, Bình Dương"
284,hàng xanh,,,,,,,,,hàng xanh,,,,hàng xanh
285,"8 / 44 đinh bộ lĩnh , p24 , quận bình thạnh",,,,,,,,,8 44 đinh bộ lĩnh p24 quận bình thạnh,,,,8 44 đinh bộ lĩnh p24 quận bình thạnh
286,trung tâm quận bình thạnh,,,,,,,,,trung tâm quận bình thạnh,,,,trung tâm quận bình thạnh
287,"ngõ đường tây hồ , quận tây hồ , hà nội",,,,,,,,,ngõ đường tây hồ quận tây hồ hà nội,,,,ngõ đường tây hồ quận tây hồ hà nội
288,"khu chung cư vinhome west point tại mễ trì , từ liêm",,,,,,,,,khu chung cư vinhome west point tại mễ trì từ liêm,,,,khu chung cư vinhome west point tại mễ trì từ liêm
289,6h element,,,,,,,,,6h element,,,,6h element
290,chung cư tại tòa m5 nguyễn chí thanh,,,,,,,,,chung cư tại tòa m5 nguyễn chí thanh,,,,chung cư tại tòa m5 nguyễn chí thanh
291,cc the gold view,,,,,,,,,cc the gold view,,,,cc the gold view
292,"trung tâm quận 7 , khu tân quy đông , phường tân phong",,,,,,,,,trung tâm quận 7 khu tân quy đông phường tân phong,,,,trung tâm quận 7 khu tân quy đông phường tân phong
293,mặt tiền tỉnh lộ 824,,,,,,,,,mặt tiền tỉnh lộ 824,,,,mặt tiền tỉnh lộ 824
294,"chợ tân định , phường 8 , quận 3",,,,,,,,,chợ tân định phường 8 quận 3,,,,chợ tân định phường 8 quận 3
295,699 lạc long quân,,,,,,,,,699 lạc long quân,,,,699 lạc long quân
296,"richtar , quan tân phú",,,,,,,,,richtar quan tân phú,,,,richtar quan tân phú
297,trung tâm thành phố hồ chí minh,,,,,,,,,trung tâm thành phố,,,Hồ Chí Minh,"trung tâm thành phố, Hồ Chí Minh"
